Booking#,dt,Agent#,Agent_Name,Cust_Number,Destination#,Destination_City,Destination_Country,Destination_Region,Amount,From_Date,To_Date,Length of Stay
43,02/01/2018,2,Molly Cross,20921,103,Raleigh,United States,North America,4030,28/08/2018,02/09/2018,5
44,02/01/2018,1,Jordan Curry,45866,95,Newark,United States,North America,13603,04/08/2018,01/09/2018,28
45,02/01/2018,8,Elisa Bennett,7244,42,Cairo,Egypt,Middle East,7114,19/03/2019,01/04/2019,13
46,02/01/2018,11,Kay Adams,312,28,Budapest,Hungary,Europe,8639,19/11/2018,11/12/2018,22
47,02/01/2018,11,Kay Adams,5965,20,Kathmandu,Nepal,Asia,2792,22/08/2019,16/09/2019,25
48,02/01/2018,9,Olive Diaz,19187,16,Jaipur,India,Asia,2762,03/02/2019,23/02/2019,20
49,02/01/2018,4,Mitchell Barton,5281,62,Atlanta,United States,North America,8808,08/09/2018,23/09/2018,15
50,03/01/2018,6,Thelma Jefferson,11420,27,Athens,Greece,Europe,6639,06/09/2018,14/09/2018,8
51,03/01/2018,2,Molly Cross,36704,123,Santiago,Chile,South America,7866,19/01/2019,13/02/2019,25
52,03/01/2018,11,Kay Adams,38312,81,Kansas City,United States,North America,10018,15/04/2018,25/04/2018,10
53,03/01/2018,1,Jordan Curry,15075,116,Sydney,Australia,Oceania/Australia,4243,05/08/2019,09/08/2019,4
54,03/01/2018,10,Simon Fleming,24330,89,Milwaukee,United States,North America,9342,10/06/2019,03/07/2019,23
55,03/01/2018,7,Horace Hawkins,49436,70,Charlotte,United States,North America,3762,09/07/2018,10/07/2018,1
56,03/01/2018,3,Carole Cox,38358,16,Jaipur,India,Asia,13339,07/04/2019,06/05/2019,29
57,03/01/2018,8,Elisa Bennett,24467,118,Buenos Aires,Argentina,South America,13169,17/02/2018,25/02/2018,8
58,03/01/2018,2,Molly Cross,15364,84,Little Rock,United States,North America,4644,20/01/2019,19/02/2019,30
59,03/01/2018,4,Mitchell Barton,12229,8,Johannesburg,South Africa,Africa,13670,17/06/2018,04/07/2018,17
60,03/01/2018,11,Kay Adams,5662,59,Puerto Vallarta,Mexico,North America,5831,29/03/2019,26/04/2019,28
61,03/01/2018,9,Olive Diaz,28479,37,Zermatt,Switzerland,Europe,7865,17/05/2019,18/05/2019,1
62,03/01/2018,10,Simon Fleming,48126,64,Baton Rouge,United States,North America,12878,10/05/2019,13/05/2019,3
63,03/01/2018,7,Horace Hawkins,39517,21,Singapore,Singapore,Asia,6260,26/09/2019,05/10/2019,9
64,03/01/2018,2,Molly Cross,45402,6,Fes,Morocco,Africa,4964,13/10/2018,17/10/2018,4
65,03/01/2018,10,Simon Fleming,31347,2,Kololi,Gambia,Africa,12921,22/09/2018,08/10/2018,16
66,03/01/2018,9,Olive Diaz,36090,113,Washington DC,United States,North America,7305,15/08/2018,21/08/2018,6
67,03/01/2018,5,Sandy Douglas,35480,41,London,United Kingdom,Europe,4159,26/06/2018,23/07/2018,27
68,04/01/2018,6,Thelma Jefferson,49333,29,Dublin,Ireland,Europe,14973,20/09/2019,16/10/2019,26
69,04/01/2018,11,Kay Adams,29971,36,Madrid,Spain,Europe,7908,19/01/2019,30/01/2019,11
70,04/01/2018,11,Kay Adams,18794,45,Jerusalem,Israel,Middle East,6582,11/01/2019,28/01/2019,17
71,04/01/2018,8,Elisa Bennett,27050,109,Tampa,United States,North America,2060,30/07/2019,19/08/2019,20
72,04/01/2018,2,Molly Cross,13102,28,Budapest,Hungary,Europe,13471,14/01/2019,31/01/2019,17
73,04/01/2018,3,Carole Cox,11709,92,Nashville,United States,North America,4460,21/08/2018,16/09/2018,26
74,04/01/2018,10,Simon Fleming,32851,112,Virginia Beach,United States,North America,8257,09/08/2019,24/08/2019,15
75,04/01/2018,11,Kay Adams,42409,37,Zermatt,Switzerland,Europe,11441,09/02/2019,27/02/2019,18
76,04/01/2018,3,Carole Cox,33911,109,Tampa,United States,North America,12452,15/04/2019,27/04/2019,12
77,04/01/2018,10,Simon Fleming,6836,22,Chiang Mai,Thailand,Asia,10721,20/06/2019,07/07/2019,17
78,04/01/2018,8,Elisa Bennett,40937,69,Charleston,United States,North America,2944,14/08/2018,10/09/2018,27
79,04/01/2018,5,Sandy Douglas,8999,97,Oakland,United States,North America,5320,17/10/2018,03/11/2018,17
80,04/01/2018,8,Elisa Bennett,48627,70,Charlotte,United States,North America,2609,28/03/2018,07/04/2018,10
81,04/01/2018,4,Mitchell Barton,15753,110,Tucson,United States,North America,10230,07/06/2019,14/06/2019,7
82,04/01/2018,6,Thelma Jefferson,30149,37,Zermatt,Switzerland,Europe,7747,17/04/2018,10/05/2018,23
83,04/01/2018,3,Carole Cox,1622,43,Luxor,Egypt,Middle East,14725,04/09/2019,08/09/2019,4
84,04/01/2018,7,Horace Hawkins,30459,51,Niagara Falls,Canada,North America,13341,05/06/2018,25/06/2018,20
85,04/01/2018,2,Molly Cross,38996,115,Melbourne,Australia,Oceania/Australia,6468,27/10/2018,17/11/2018,21
86,04/01/2018,1,Jordan Curry,17064,42,Cairo,Egypt,Middle East,10430,19/08/2019,29/08/2019,10
87,04/01/2018,3,Carole Cox,19153,64,Baton Rouge,United States,North America,12996,30/09/2018,28/10/2018,28
88,04/01/2018,2,Molly Cross,25154,108,Seattle,United States,North America,9371,15/05/2018,31/05/2018,16
89,04/01/2018,4,Mitchell Barton,28318,26,Berlin,Germany,Europe,12910,21/10/2018,06/11/2018,16
90,04/01/2018,6,Thelma Jefferson,38662,45,Jerusalem,Israel,Middle East,10734,26/12/2018,05/01/2019,10
91,04/01/2018,2,Molly Cross,7487,25,Prague,Czech Republic,Europe,4961,31/10/2018,01/11/2018,1
92,04/01/2018,3,Carole Cox,45483,49,Halifax,Canada,North America,10363,17/09/2018,24/09/2018,7
93,05/01/2018,8,Elisa Bennett,27587,15,Shanghai,China,Asia,4318,20/11/2018,08/12/2018,18
94,05/01/2018,10,Simon Fleming,11933,62,Atlanta,United States,North America,8466,22/08/2018,31/08/2018,9
95,05/01/2018,8,Elisa Bennett,9648,71,Chicago,United States,North America,14329,03/10/2018,06/10/2018,3
96,05/01/2018,8,Elisa Bennett,24824,83,Lincoln,United States,North America,3116,19/04/2019,26/04/2019,7
97,05/01/2018,5,Sandy Douglas,11637,91,Myrtle Beach,United States,North America,14655,17/02/2018,05/03/2018,16
98,05/01/2018,7,Horace Hawkins,16249,54,Vancouver,Canada,North America,6512,15/03/2018,07/04/2018,23
99,05/01/2018,7,Horace Hawkins,20394,16,Jaipur,India,Asia,14472,19/04/2018,09/05/2018,20
100,05/01/2018,4,Mitchell Barton,19180,98,Omaha,United States,North America,9981,25/06/2019,11/07/2019,16
101,05/01/2018,5,Sandy Douglas,43787,103,Raleigh,United States,North America,10027,10/05/2018,30/05/2018,20
102,05/01/2018,9,Olive Diaz,12871,47,Dubai,United Arab Emirates,Middle East,5433,22/10/2018,19/11/2018,28
103,05/01/2018,6,Thelma Jefferson,31366,83,Lincoln,United States,North America,2277,26/09/2019,19/10/2019,23
104,05/01/2018,1,Jordan Curry,6103,109,Tampa,United States,North America,5699,10/06/2018,14/06/2018,4
105,05/01/2018,6,Thelma Jefferson,19573,78,Honolulu,United States,North America,10707,24/10/2018,09/11/2018,16
106,05/01/2018,11,Kay Adams,11338,55,Acapulco,Mexico,North America,5678,29/03/2018,26/04/2018,28
107,05/01/2018,5,Sandy Douglas,36534,18,Ubud,Indonesia,Asia,12088,18/07/2018,31/07/2018,13
108,05/01/2018,3,Carole Cox,23028,16,Jaipur,India,Asia,8259,15/08/2019,28/08/2019,13
109,05/01/2018,3,Carole Cox,21898,103,Raleigh,United States,North America,2313,05/09/2018,21/09/2018,16
110,05/01/2018,7,Horace Hawkins,28645,87,Memphis,United States,North America,5544,17/03/2019,23/03/2019,6
111,05/01/2018,3,Carole Cox,12400,69,Charleston,United States,North America,13763,19/06/2018,01/07/2018,12
112,05/01/2018,7,Horace Hawkins,18834,75,Fort Worth,United States,North America,2726,20/01/2019,23/01/2019,3
113,05/01/2018,5,Sandy Douglas,12954,99,Orlando,United States,North America,5410,25/04/2018,14/05/2018,19
114,05/01/2018,2,Molly Cross,32247,4,Nairobi,Kenya,Africa,4177,18/09/2018,18/10/2018,30
115,05/01/2018,5,Sandy Douglas,10460,5,Watamu,Kenya,Africa,9147,24/07/2018,18/08/2018,25
116,05/01/2018,2,Molly Cross,175,73,Colorado Springs,United States,North America,12341,28/12/2018,24/01/2019,27
117,05/01/2018,5,Sandy Douglas,39174,19,Tokyo,Japan,Asia,13231,22/03/2019,25/03/2019,3
118,05/01/2018,11,Kay Adams,10951,12,Beijing,China,Asia,11306,16/12/2018,07/01/2019,22
119,06/01/2018,1,Jordan Curry,40566,108,Seattle,United States,North America,7256,15/06/2019,06/07/2019,21
120,06/01/2018,3,Carole Cox,37085,44,Sharm El Sheikh,Egypt,Middle East,9458,31/08/2018,06/09/2018,6
121,06/01/2018,3,Carole Cox,10391,44,Sharm El Sheikh,Egypt,Middle East,12367,27/05/2018,11/06/2018,15
122,06/01/2018,11,Kay Adams,12027,122,Santa Cruz,Chile,South America,11677,11/03/2018,08/04/2018,28
123,06/01/2018,7,Horace Hawkins,5880,97,Oakland,United States,North America,7079,17/09/2018,03/10/2018,16
124,06/01/2018,3,Carole Cox,9687,58,Playa del Carmen,Mexico,North America,3277,28/09/2018,23/10/2018,25
125,06/01/2018,4,Mitchell Barton,3549,95,Newark,United States,North America,2628,28/01/2019,05/02/2019,8
126,06/01/2018,6,Thelma Jefferson,3281,19,Tokyo,Japan,Asia,3486,26/09/2018,28/09/2018,2
127,06/01/2018,2,Molly Cross,32678,35,Moscow,Russia,Europe,14124,17/03/2018,27/03/2018,10
128,06/01/2018,9,Olive Diaz,44507,5,Watamu,Kenya,Africa,14869,21/04/2018,22/04/2018,1
129,06/01/2018,10,Simon Fleming,5708,61,Anchorage,United States,North America,10933,28/10/2018,05/11/2018,8
130,06/01/2018,11,Kay Adams,44327,109,Tampa,United States,North America,8371,25/12/2018,01/01/2019,7
131,06/01/2018,7,Horace Hawkins,29253,74,Denver,United States,North America,6116,04/05/2019,08/05/2019,4
132,06/01/2018,7,Horace Hawkins,9799,11,Siem Reap,Cambodia,Asia,10937,07/05/2019,19/05/2019,12
133,06/01/2018,8,Elisa Bennett,235,4,Nairobi,Kenya,Africa,2603,02/06/2019,30/06/2019,28
134,06/01/2018,7,Horace Hawkins,42387,7,Cape Town Central,South Africa,Africa,13425,02/02/2019,28/02/2019,26
135,06/01/2018,5,Sandy Douglas,10483,30,Milan,Italy,Europe,9531,06/09/2019,12/09/2019,6
136,06/01/2018,2,Molly Cross,13459,64,Baton Rouge,United States,North America,7610,30/09/2018,24/10/2018,24
137,06/01/2018,7,Horace Hawkins,1897,1,Marrakech,Morocco,Africa,11234,28/07/2019,02/08/2019,5
138,06/01/2018,5,Sandy Douglas,23062,110,Tucson,United States,North America,3521,15/07/2018,14/08/2018,30
139,06/01/2018,4,Mitchell Barton,18025,116,Sydney,Australia,Oceania/Australia,4864,23/07/2019,20/08/2019,28
140,06/01/2018,8,Elisa Bennett,44873,2,Kololi,Gambia,Africa,3295,22/02/2019,16/03/2019,22
141,06/01/2018,7,Horace Hawkins,10428,82,Las Vegas,United States,North America,10097,17/06/2018,11/07/2018,24
142,06/01/2018,2,Molly Cross,38796,79,Houston,United States,North America,13383,25/05/2019,15/06/2019,21
143,06/01/2018,10,Simon Fleming,37691,106,San Diego,United States,North America,6469,20/03/2019,30/03/2019,10
144,07/01/2018,9,Olive Diaz,44353,27,Athens,Greece,Europe,12847,22/08/2018,30/08/2018,8
145,07/01/2018,5,Sandy Douglas,8774,41,London,United Kingdom,Europe,2650,01/12/2018,19/12/2018,18
146,07/01/2018,10,Simon Fleming,4202,120,Rio de Janeiro,Brazil,South America,10971,16/07/2019,05/08/2019,20
147,07/01/2018,5,Sandy Douglas,5487,52,Quebec City,Canada,North America,2739,28/07/2018,20/08/2018,23
148,07/01/2018,6,Thelma Jefferson,45971,1,Marrakech,Morocco,Africa,2800,29/09/2018,05/10/2018,6
149,07/01/2018,10,Simon Fleming,37027,19,Tokyo,Japan,Asia,9527,06/05/2018,04/06/2018,29
150,07/01/2018,1,Jordan Curry,13593,106,San Diego,United States,North America,7005,27/07/2019,02/08/2019,6
151,07/01/2018,1,Jordan Curry,17164,119,Natal,Brazil,South America,8106,01/08/2018,20/08/2018,19
152,07/01/2018,1,Jordan Curry,31720,112,Virginia Beach,United States,North America,4029,01/03/2018,25/03/2018,24
153,07/01/2018,2,Molly Cross,45177,9,Knysna,South Africa,Africa,2002,30/07/2019,04/08/2019,5
154,07/01/2018,5,Sandy Douglas,35272,30,Milan,Italy,Europe,4640,11/05/2018,25/05/2018,14
155,07/01/2018,5,Sandy Douglas,11999,95,Newark,United States,North America,5154,20/11/2018,22/11/2018,2
156,07/01/2018,10,Simon Fleming,35991,80,Jersey City,United States,North America,8289,24/03/2018,13/04/2018,20
157,07/01/2018,5,Sandy Douglas,19552,61,Anchorage,United States,North America,9280,22/08/2019,18/09/2019,27
158,07/01/2018,11,Kay Adams,11355,63,Baltimore,United States,North America,5895,23/07/2019,25/07/2019,2
159,07/01/2018,9,Olive Diaz,46667,68,Buffalo,United States,North America,9525,13/04/2019,25/04/2019,12
160,07/01/2018,10,Simon Fleming,2828,53,Toronto,Canada,North America,10816,22/08/2019,26/08/2019,4
161,07/01/2018,6,Thelma Jefferson,42019,123,Santiago,Chile,South America,5247,09/07/2018,18/07/2018,9
162,07/01/2018,5,Sandy Douglas,665,103,Raleigh,United States,North America,5803,31/10/2018,02/11/2018,2
163,07/01/2018,11,Kay Adams,27738,8,Johannesburg,South Africa,Africa,7950,18/06/2018,01/07/2018,13
164,07/01/2018,7,Horace Hawkins,41756,113,Washington DC,United States,North America,11167,23/05/2019,14/06/2019,22
165,07/01/2018,5,Sandy Douglas,27086,7,Cape Town Central,South Africa,Africa,10680,10/03/2018,16/03/2018,6
166,07/01/2018,11,Kay Adams,37451,83,Lincoln,United States,North America,6857,28/06/2019,22/07/2019,24
167,07/01/2018,4,Mitchell Barton,48094,17,New Delhi,India,Asia,4628,05/07/2018,14/07/2018,9
168,07/01/2018,4,Mitchell Barton,27335,124,Bogota,Colombia,South America,2463,02/05/2019,24/05/2019,22
169,07/01/2018,7,Horace Hawkins,39163,52,Quebec City,Canada,North America,4750,08/02/2019,06/03/2019,26
170,07/01/2018,5,Sandy Douglas,25607,52,Quebec City,Canada,North America,3307,14/06/2019,11/07/2019,27
171,07/01/2018,2,Molly Cross,23584,42,Cairo,Egypt,Middle East,13965,19/07/2019,04/08/2019,16
172,07/01/2018,8,Elisa Bennett,35717,72,Cleveland,United States,North America,2344,07/10/2018,11/10/2018,4
173,07/01/2018,4,Mitchell Barton,14027,2,Kololi,Gambia,Africa,12960,26/12/2018,08/01/2019,13
174,07/01/2018,11,Kay Adams,43429,9,Knysna,South Africa,Africa,13198,11/04/2018,11/05/2018,30
175,07/01/2018,7,Horace Hawkins,9635,77,Greensboro,United States,North America,3204,18/04/2019,08/05/2019,20
176,07/01/2018,3,Carole Cox,23489,76,Fresno,United States,North America,4132,29/08/2019,24/09/2019,26
177,07/01/2018,6,Thelma Jefferson,24425,55,Acapulco,Mexico,North America,4321,06/03/2018,25/03/2018,19
178,07/01/2018,2,Molly Cross,38983,90,Minneapolis,United States,North America,3944,14/04/2018,16/04/2018,2
179,07/01/2018,10,Simon Fleming,27298,27,Athens,Greece,Europe,13471,11/08/2019,14/08/2019,3
180,07/01/2018,7,Horace Hawkins,27509,26,Berlin,Germany,Europe,3293,10/03/2019,30/03/2019,20
181,07/01/2018,9,Olive Diaz,17212,42,Cairo,Egypt,Middle East,3753,14/05/2019,10/06/2019,27
182,08/01/2018,11,Kay Adams,42152,32,Venice,Italy,Europe,12756,17/05/2018,06/06/2018,20
183,08/01/2018,1,Jordan Curry,36060,108,Seattle,United States,North America,14629,19/02/2018,04/03/2018,13
184,08/01/2018,6,Thelma Jefferson,43989,29,Dublin,Ireland,Europe,14167,13/04/2019,11/05/2019,28
185,08/01/2018,4,Mitchell Barton,40729,103,Raleigh,United States,North America,2905,01/06/2018,06/06/2018,5
186,08/01/2018,1,Jordan Curry,6456,116,Sydney,Australia,Oceania/Australia,7997,29/03/2018,20/04/2018,22
187,08/01/2018,7,Horace Hawkins,36030,82,Las Vegas,United States,North America,12900,05/12/2018,21/12/2018,16
188,08/01/2018,4,Mitchell Barton,44300,41,London,United Kingdom,Europe,10960,04/05/2019,18/05/2019,14
189,08/01/2018,5,Sandy Douglas,46280,87,Memphis,United States,North America,11436,27/04/2018,20/05/2018,23
190,08/01/2018,4,Mitchell Barton,30337,87,Memphis,United States,North America,2698,23/05/2019,02/06/2019,10
191,08/01/2018,11,Kay Adams,3102,65,Birmingham,United States,North America,10462,05/08/2019,17/08/2019,12
192,08/01/2018,2,Molly Cross,2036,49,Halifax,Canada,North America,6721,24/02/2019,05/03/2019,9
193,08/01/2018,11,Kay Adams,45145,75,Fort Worth,United States,North America,14676,03/03/2018,16/03/2018,13
194,08/01/2018,3,Carole Cox,1441,69,Charleston,United States,North America,10841,09/04/2018,29/04/2018,20
195,08/01/2018,10,Simon Fleming,27127,104,Sacramento,United States,North America,11435,07/08/2019,12/08/2019,5
196,08/01/2018,9,Olive Diaz,1301,109,Tampa,United States,North America,7220,11/09/2018,15/09/2018,4
197,08/01/2018,2,Molly Cross,4531,74,Denver,United States,North America,10422,25/11/2018,22/12/2018,27
198,08/01/2018,9,Olive Diaz,20486,103,Raleigh,United States,North America,5286,05/06/2018,22/06/2018,17
199,08/01/2018,4,Mitchell Barton,48441,60,Anaheim,United States,North America,10702,05/12/2018,16/12/2018,11
200,08/01/2018,4,Mitchell Barton,4320,68,Buffalo,United States,North America,5332,08/02/2019,20/02/2019,12
201,08/01/2018,4,Mitchell Barton,5815,114,Brisbane,Australia,Oceania/Australia,3711,04/02/2019,21/02/2019,17
202,08/01/2018,10,Simon Fleming,42604,47,Dubai,United Arab Emirates,Middle East,12214,06/05/2018,31/05/2018,25
203,08/01/2018,10,Simon Fleming,4906,55,Acapulco,Mexico,North America,13846,13/07/2019,14/07/2019,1
204,08/01/2018,5,Sandy Douglas,21424,79,Houston,United States,North America,8779,02/07/2018,01/08/2018,30
205,08/01/2018,1,Jordan Curry,12727,12,Beijing,China,Asia,9278,09/10/2018,17/10/2018,8
206,08/01/2018,3,Carole Cox,420,108,Seattle,United States,North America,10272,22/03/2018,30/03/2018,8
207,08/01/2018,3,Carole Cox,46070,31,Rome,Italy,Europe,4384,14/02/2019,26/02/2019,12
208,09/01/2018,1,Jordan Curry,13580,66,Boston,United States,North America,2458,27/02/2019,20/03/2019,21
209,09/01/2018,6,Thelma Jefferson,15925,34,Lisbon,Portugal,Europe,4041,24/08/2019,28/08/2019,4
210,09/01/2018,8,Elisa Bennett,2865,30,Milan,Italy,Europe,4772,02/12/2018,18/12/2018,16
211,09/01/2018,2,Molly Cross,25601,11,Siem Reap,Cambodia,Asia,12450,22/09/2018,29/09/2018,7
212,09/01/2018,7,Horace Hawkins,35668,125,Santa Marta,Colombia,South America,13398,08/05/2018,24/05/2018,16
213,09/01/2018,3,Carole Cox,43077,99,Orlando,United States,North America,7961,22/06/2018,18/07/2018,26
214,09/01/2018,10,Simon Fleming,36951,94,New York City,United States,North America,7665,09/01/2019,25/01/2019,16
215,09/01/2018,5,Sandy Douglas,17129,46,Tel Aviv,Israel,Middle East,14495,02/08/2018,15/08/2018,13
216,09/01/2018,6,Thelma Jefferson,18125,81,Kansas City,United States,North America,4232,02/08/2018,08/08/2018,6
217,09/01/2018,9,Olive Diaz,44802,16,Jaipur,India,Asia,11486,26/11/2018,28/11/2018,2
218,09/01/2018,10,Simon Fleming,44615,103,Raleigh,United States,North America,5360,17/04/2018,13/05/2018,26
219,09/01/2018,9,Olive Diaz,32103,17,New Delhi,India,Asia,11372,16/02/2019,14/03/2019,26
220,09/01/2018,8,Elisa Bennett,29637,113,Washington DC,United States,North America,3987,25/05/2018,12/06/2018,18
221,09/01/2018,7,Horace Hawkins,11046,126,Quito,Ecuador,South America,12547,03/04/2018,08/04/2018,5
222,09/01/2018,6,Thelma Jefferson,5566,37,Zermatt,Switzerland,Europe,9064,17/07/2018,30/07/2018,13
223,09/01/2018,1,Jordan Curry,34432,10,Stone Town,Tanzania,Africa,8098,04/02/2019,17/02/2019,13
224,09/01/2018,10,Simon Fleming,2724,66,Boston,United States,North America,2366,08/03/2019,15/03/2019,7
225,09/01/2018,5,Sandy Douglas,48843,74,Denver,United States,North America,12619,30/12/2018,25/01/2019,26
226,09/01/2018,9,Olive Diaz,24786,122,Santa Cruz,Chile,South America,14485,19/09/2019,06/10/2019,17
227,09/01/2018,3,Carole Cox,7748,90,Minneapolis,United States,North America,12175,10/10/2018,29/10/2018,19
228,09/01/2018,11,Kay Adams,28594,54,Vancouver,Canada,North America,3437,25/04/2019,14/05/2019,19
229,09/01/2018,11,Kay Adams,2796,123,Santiago,Chile,South America,6776,14/09/2018,11/10/2018,27
230,09/01/2018,11,Kay Adams,26147,125,Santa Marta,Colombia,South America,5324,25/07/2018,13/08/2018,19
231,09/01/2018,10,Simon Fleming,42444,65,Birmingham,United States,North America,13561,22/01/2019,27/01/2019,5
232,09/01/2018,8,Elisa Bennett,15576,23,Hoi An,Vietnam,Asia,5227,30/08/2019,27/09/2019,28
233,09/01/2018,11,Kay Adams,46300,57,Mexico City,Mexico,North America,3291,09/10/2018,15/10/2018,6
234,09/01/2018,1,Jordan Curry,9353,88,Miami Beach,United States,North America,8155,17/04/2019,04/05/2019,17
235,10/01/2018,5,Sandy Douglas,15404,115,Melbourne,Australia,Oceania/Australia,9783,31/10/2018,07/11/2018,7
236,10/01/2018,2,Molly Cross,18856,64,Baton Rouge,United States,North America,6400,25/09/2018,28/09/2018,3
237,10/01/2018,8,Elisa Bennett,17118,6,Fes,Morocco,Africa,7263,29/03/2019,15/04/2019,17
238,10/01/2018,2,Molly Cross,2364,119,Natal,Brazil,South America,9738,06/03/2019,02/04/2019,27
239,10/01/2018,3,Carole Cox,1288,47,Dubai,United Arab Emirates,Middle East,12398,19/06/2019,11/07/2019,22
240,10/01/2018,4,Mitchell Barton,40731,21,Singapore,Singapore,Asia,8616,20/06/2019,18/07/2019,28
241,10/01/2018,10,Simon Fleming,49746,80,Jersey City,United States,North America,2608,17/04/2018,08/05/2018,21
242,10/01/2018,5,Sandy Douglas,7639,57,Mexico City,Mexico,North America,14313,19/01/2019,03/02/2019,15
243,10/01/2018,4,Mitchell Barton,38300,53,Toronto,Canada,North America,4548,05/05/2019,15/05/2019,10
244,10/01/2018,8,Elisa Bennett,18915,22,Chiang Mai,Thailand,Asia,9168,03/07/2019,23/07/2019,20
245,10/01/2018,5,Sandy Douglas,26344,106,San Diego,United States,North America,13228,16/04/2018,18/04/2018,2
